curso_anonimo;estudiante_anonimo;total_sesiones_31d;total_eventos_31d;dias_activos_31d;total_minutos_31d;recursos_vistos_31d;tareas_entregadas_31d;cuestionarios_intentados_31d;promedio_quizzes_31d;numero_intentos_quiz_31d;promedio_nota_tareas_31d;Total_cuestionarios_curso;Total_tareas_curso;Total_Recursos_Curso;curso;nota_1_parcial
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;0bb9f9f420a7781e1a5f9d62ff6b1846a35d161d470b1b37d802452d90a163d5;29;150;4;39.40;4;4;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;0f1275e48abd4af4ba25a4232d42e7c2dd2f1dccff3cf6124a0d4b91890834fb;46;143;7;62.00;4;4;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;0f3a3f8a0d20097765edb32114bf16fe345d44af91e154b8c700b1652f062cf6;1;6;1;0.68;1;1;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;101288c058f03edd7590478ed291426c930a3bb103c9e8a874f10f95f783e38a;;;;;3;3;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;210fcb6bb6f1d55d54d9ba8fc20053c3fc02ab8420a54d0e3c046e6f83630f78;3;7;1;0.32;2;2;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;281e79c8c3b6ec380f29302d8eacf98f0f1e1f9ff860e0cce79cb89002ec8a2e;;;;;;;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;2d2e05740d693344202eea6212a3a36815d29003ce8725e204f7ff4a14bfd1fe;10;142;3;74.03;4;4;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;2e2ae8eb26c63d2a2bfa6631147aac4a82770ceb57c42fd95deb6174e9129a08;1;54;1;24.75;4;4;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;357c0c5c23fa57a54fb91ee1d23e60b0d809cf4edde2f1f8f11aad5891820818;;;;;;;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;3ce7cd1454ed10f8d24c8058d2d286aa2a5692fa7115bf8c39fbcbe84c55472a;4;3;1;0.37;;;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;441b7c51b078b09b59f4686fb8790cac17b9c179e6ddc1acc0e7f694f5a9b9c4;50;117;4;27.87;4;4;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;449dc498008b3333690a106b3f505dccadccf0c53327a1a03ced897ec035d9db;;;;;;;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;5290248c7528bb2fb723ccfc8e039fd2e5b2be5b4a2156a257b5c6e0b0970e37;41;140;4;79.38;4;4;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;5d403d68ad2d9d80f03fff6cc27d3c2bdd06c50461ccc12ae7553c0a583aa02d;2;6;1;0.30;1;1;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;66cfc879733b5a95baa5fc85b1d40e94d12f00400586e019bd79b52afc1401a9;134;111;3;52.35;4;4;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;69f4c96c9ff5c417ced60902b1df6e68f5f8263f7cdb54d971392509f1ac64e4;6;36;2;14.58;3;3;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;6af492a37d6eb79472a25e8c8f7e3df293e9c9250560f44c8fb4c768c1d46bb6;54;93;4;126.77;4;4;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;6bdb9b093eba42c4da5adc0e95b256f6a4a7899d3122f9ad73ed2263cfdd22e7;48;102;4;35.00;4;4;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;81a235b69912036e2dc457c5675ad374afbcee981196f5e66dbab68691c33735;29;181;5;63.55;4;4;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;a137c67b711b9daa314395a395a563e6f648e2f09481f8754175f11727bc74aa;3;52;1;43.98;4;4;;;;;;4;4;1-A-MATEMATICA I;
008d738b2b95f97076b6c237de8ff6706fbcde63535a578e671f75049d73c4e0;a1d13a44d0dbef97c1fac366ad76bef74738c070873b0933c6cfeba3b2301759;43;116;5;81.37;4;4;;;;;;4;4;1-A-MATEMATICA I;
